CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,fragrance_family,all_descriptors
52475-86-2,1-methyl-4-(4-methyl-3-pentenyl)cyclohex-3-ene-1-carbaldehyde,aldehydic,green,floral,aldehydic,"['aldehydic', 'green', 'floral']"
21129-27-1,1-methyl-4-(isopropyl)cyclohexan-1-ol,floral,citrus,pine,floral,"['floral', 'citrus', 'pine']"
37514-30-0,1-methylcyclododecyl methyl ether,woody,dry,amber,woody,"['woody', 'dry', 'amber']"
103614-86-4,"1-naphthalenol, 1,2,3,4,4a,5,8,8a-octahydro-2,2,6,8-tetramethyl-",fruity,mango,passionfruit,fruity,"['fruity', 'mango', 'passionfruit']"
68922-14-5,"1-nonanol, 2,4,6,8-tetramethyl-,acetate",floral,fruity,green,floral,"['floral', 'fruity', 'green']"
21964-44-3,1-nonen-3-ol,green,cucumber,violet,green,"['green', 'cucumber', 'violet']"
111-87-5,1-octanol,citrus,waxy,green,citrus,"['citrus', 'waxy', 'green']"
3391-86-4,1-octen-3-ol,herbal,floral,lavender,herbal,"['herbal', 'floral', 'lavender']"
4312-99-6,1-octen-3-one,earthy,mushroom,herbal,earthy,"['earthy', 'mushroom', 'herbal']"
2442-10-6,1-octen-3-yl acetate,herbal,fruity,floral,herbal,"['herbal', 'fruity', 'floral']"
71078-31-4,"1-oxaspiro[4.5]deca-3,6-diene, 2,6,9,10-tetramethyl-",fruity,blackcurrant,green,fruity,"['fruity', 'blackcurrant', 'green']"
89079-92-5,"1-oxaspiro[4.5]deca-3,6-diene, 2,7-dimethyl-10-(1-methylethyl)-",fruity,blackcurrant,tropical-fruit,fruity,"['fruity', 'blackcurrant', 'tropical-fruit']"
79893-63-3,"1-oxaspiro[4.5]deca-3,6-diene, 6-ethyl-2,10,10-trimethyl-",fruity,blackcurrant,green,fruity,"['fruity', 'blackcurrant', 'green']"
4625-90-5,"1-oxaspiro[4.5]decan-2-one, 8-(1-methylethyl)-, trans-",woody,herbal,oily,woody,"['woody', 'herbal', 'oily']"
91069-40-8,"1-oxaspiro[4.5]decan-2-one, 8-ethyl-, trans-",woody,spicy,oily,woody,"['woody', 'spicy', 'oily']"
94201-19-1,"1-oxaspiro[4.5]decan-2-one, 8-methyl-",gourmand,lactonic,coconut,gourmand,"['gourmand', 'lactonic', 'coconut']"
91069-37-3,"1-oxaspiro[4.5]decan-2-one, 8-methyl-, cis-",woody,creamy,milky,woody,"['woody', 'creamy', 'milky']"
57967-68-7,"1-oxaspiro[4.5]decan-6-ol, 2,6,10,10-tetramethyl-, (2r,5s,6s)-rel-",woody,camphoraceous,fungal,woody,"['woody', 'camphoraceous', 'fungal']"
616-25-1,1-penten-3-ol,green,fruity,leafy,green,"['green', 'fruity', 'leafy']"
67739-11-1,"1-penten-3-ol, 2-methyl-1-(methylbicyclo[2.2.1]hept-5-en-2-yl)-",woody,sandalwood,floral,woody,"['woody', 'sandalwood', 'floral']"
1629-58-9,1-penten-3-one,sulfurous,garlic,onion,sulfurous,"['sulfurous', 'garlic', 'onion']"
68555-94-2,"1-penten-3-one, 2-methyl-1-(2,2,6-trimethylcyclohexenyl)-",woody,floral,violet,woody,"['woody', 'floral', 'violet']"
579-07-7,"1-phenyl-1,2-propanedione",aromatic,phenolic,dry,aromatic,"['aromatic', 'phenolic', 'dry']"
10415-87-9,1-phenyl-3-methyl-3-pentanol,floral,green,anisic,floral,"['floral', 'green', 'anisic']"
72007-81-9,1-phenyl-3-methyl-3-pentyl acetate,floral,green,hyacinth,floral,"['floral', 'green', 'hyacinth']"
3240-29-7,1-phenyl-4-penten-1-one,balsamic,sweet,herbal,balsamic,"['balsamic', 'sweet', 'herbal']"
71159-90-5,1-p-menthene-8-thiol,citrus,fruity,grapefruit,citrus,"['citrus', 'fruity', 'grapefruit']"
128119-70-0,"1-propanol, 2-methyl-3-[(1,7,7-trimethylbicyclo-[2.2.1]hept-2-yl)oxy]-",amber,warm,woody,amber,"['amber', 'warm', 'woody']"
112-70-9,1-tridecanol,floral,woody,green,floral,"['floral', 'woody', 'green']"
811436-82-5,"2 propenoic acid, 2-[1-[(1r)-3,3-dimethylcyclohexyl]ethoxy]-2-methylpropyl ester",musk like,fruity,pear,musk like,"['musk like', 'fruity', 'pear']"
107-93-7,"2-butenoic acid, (2e)-",gourmand,sweet,milky,gourmand,"['gourmand', 'sweet', 'milky']"
15848-49-4,"2-cyclopentene-1-acetic acid, ethyl ester",fruity,pineapple,pear,fruity,"['fruity', 'pineapple', 'pear']"
2371-13-3,"2-octen-1-ol, 1-acetate",earthy,mushroom,lavender,earthy,"['earthy', 'mushroom', 'lavender']"
76649-17-7,"2-pentenoic acid, 2-methyl-, (3z)-3-hexen-1-yl ester",fruity,fresh,green,fruity,"['fruity', 'fresh', 'green']"
2810-04-0,"2-thiophenecarboxylic acid, ethyl ester",fruity,fermented,grape,fruity,"['fruity', 'fermented', 'grape']"
68480-25-1,2-tridecen-1-ol,green,fruity,leafy,green,"['green', 'fruity', 'leafy']"
141773-73-1,"2-(1-(3',3'-dimethyl-1'-cyclohexyl)ethoxy)-2-methyl propyl propanoate",musk like,fruity,pear,musk like,"['musk like', 'fruity', 'pear']"
1217-08-9,"2-(1,1,2,3,3-pentamethylindan-5-yl)-1-propanol",musk like,floral,warm,musk like,"['musk like', 'floral', 'warm']"
67634-11-1,"2-(1,1-dimethylethyl)-4-methylcyclohexan-1-ol",woody,earthy,fresh,woody,"['woody', 'earthy', 'fresh']"
5947-36-4,2(10)-pinen-3-ol,herbal,woody,pine,herbal,"['herbal', 'woody', 'pine']"
