CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,fragrance_family,all_descriptors
97-87-0,butyl isobutyrate,fruity,apple,pear,fruity,"['fruity', 'apple', 'pear']"
109-19-3,butyl isovalerate,fruity,apple,pear,fruity,"['fruity', 'apple', 'pear']"
138-22-7,butyl lactate,gourmand,milky,fatty,gourmand,"['gourmand', 'milky', 'fatty']"
2052-15-5,butyl levulinate,fruity,waxy,caramel,fruity,"['fruity', 'waxy', 'caramel']"
589-75-3,butyl octanoate,gourmand,buttery,herbal,gourmand,"['gourmand', 'buttery', 'herbal']"
122-43-0,butyl phenylacetate,floral,fruity,pear,floral,"['floral', 'fruity', 'pear']"
590-01-2,butyl propionate,fruity,sweet,banana,fruity,"['fruity', 'sweet', 'banana']"
2052-14-4,butyl salicylate,floral,neroli,fruity,floral,"['floral', 'neroli', 'fruity']"
544-40-1,butyl sulfide,fruity,rose,geranium,fruity,"['fruity', 'rose', 'geranium']"
123-72-8,butyraldehyde,gourmand,fruity,chocolate,gourmand,"['gourmand', 'fruity', 'chocolate']"
107-92-6,butyric acid,acidic,gourmand,cheesy,acidic,"['acidic', 'gourmand', 'cheesy']"
84012-17-9,buxus sempervirens absolute,woody,mossy,liquorice,woody,"['woody', 'mossy', 'liquorice']"
68188-03-4,cabreuva oil,woody,sweet,balsamic,woody,"['woody', 'sweet', 'balsamic']"
8002-31-1,cacao absolute,gourmand,chocolate,powdery,gourmand,"['gourmand', 'chocolate', 'powdery']"
8013-10-3,cade oil,smoky,phenolic,leathery,smoky,"['smoky', 'phenolic', 'leathery']"
29350-73-0,cadinene,woody,cedarwood,smoky,woody,"['woody', 'cedarwood', 'smoky']"
8008-98-8,cajuput oil,herbal,fresh,aromatic,herbal,"['herbal', 'fresh', 'aromatic']"
8015-79-0,calamus oil,woody,warm,spicy,woody,"['woody', 'warm', 'spicy']"
1069136-34-0,callitropsis nootkatensis oil,woody,fresh,earthy,woody,"['woody', 'fresh', 'earthy']"
68916-73-4,camellia leaf extract,floral,green,tea,floral,"['floral', 'green', 'tea']"
79-92-5,camphene,herbal,camphoraceous,woody,herbal,"['herbal', 'camphoraceous', 'woody']"
8008-51-3,"camphor oil, white",camphoraceous,fresh,herbal,camphoraceous,"['camphoraceous', 'fresh', 'herbal']"
68606-83-7,cananga oil,floral,spicy,ylang,floral,"['floral', 'spicy', 'ylang']"
8023-77-6,capsicum oleoresin,spicy,hay,tobacco,spicy,"['spicy', 'hay', 'tobacco like']"
97675-54-2,carambola alcoholate,fruity,tropical-fruit,pear,fruity,"['fruity', 'tropical-fruit', 'pear']"
8000-42-8,caraway seed oil,herbal,spicy,fresh,herbal,"['herbal', 'spicy', 'fresh']"
67643-70-3,"carbamic acid, n,n-dimethyl-, 1-ethenyl-1,5-dimethyl-4-hexen-1-yl ester",spicy,fresh,peppery,spicy,"['spicy', 'fresh', 'peppery']"
8000-66-6,cardamom seed absolute,spicy,aromatic,metallic,spicy,"['spicy', 'aromatic', 'metallic']"
8021-43-0,carnation absolute,floral,carnation,spicy,floral,"['floral', 'carnation', 'spicy']"
79070-15-8,carob absolute,woody,sweet,fruity,woody,"['woody', 'sweet', 'fruity']"
8015-88-1,carrot seed,powdery,dry,fruity,powdery,"['powdery', 'dry', 'fruity']"
499-75-2,carvacrol,herbal,camphoraceous,thyme,herbal,"['herbal', 'camphoraceous', 'thyme']"
99-48-9,carveol,minty,spearmint,peppermint,minty,"['minty', 'spearmint', 'peppermint']"
97-42-7,carvyl acetate,herbal,minty,fresh,herbal,"['herbal', 'minty', 'fresh']"
97-45-0,carvyl propionate,herbal,minty,aromatic,herbal,"['herbal', 'minty', 'aromatic']"
57082-24-3,caryophyllene acetate,woody,fruity,spicy,woody,"['woody', 'fruity', 'spicy']"
75975-83-6,caryophyllene acetylated,woody,amber,vetiver,woody,"['woody', 'amber', 'vetiver']"
32214-91-8,caryophyllene alcohol acetate,balsamic,fruity,woody,balsamic,"['balsamic', 'fruity', 'woody']"
1139-30-6,caryophyllene oxide,woody,carrot,dry,woody,"['woody', 'carrot', 'dry']"
8007-06-5,cascarilla bark extract,spicy,woody,peppery,spicy,"['spicy', 'woody', 'peppery']"
8007-80-5,cassia backs terpenes,spicy,sweet,cinnamon,spicy,"['spicy', 'sweet', 'cinnamon']"
8023-82-3,cassie absolute,floral,fresh,spicy,floral,"['floral', 'fresh', 'spicy']"
97676-19-2,cassis bud absolute,fruity,blackcurrant,green,fruity,"['fruity', 'blackcurrant', 'green']"
871465-49-5,cassyrane,fruity,juicy,blackcurrant,fruity,"['fruity', 'juicy', 'blackcurrant']"
8023-83-4,castoreum absolute,animal like,leathery,phenolic,animal like,"['animal like', 'leathery', 'phenolic']"
8007-20-3,cedar leaf oil,herbal,cedarwood,pungent,herbal,"['herbal', 'cedarwood', 'pungent']"
91770-83-1,"cedar leaf oil, china",herbal,camphoraceous,pungent,herbal,"['herbal', 'camphoraceous', 'pungent']"
68917-35-1,"cedar leaf oil, east canada",herbal,fresh,sharp,herbal,"['herbal', 'fresh', 'sharp']"
68990-83-0,"cedarwood  extract, texas",woody,cedarwood,powdery,woody,"['woody', 'cedarwood', 'powdery']"
8023-85-6,"cedarwood extract, atlas",woody,sweet,milky,woody,"['woody', 'sweet', 'milky']"
61789-42-2,cedarwood oil acetylated,woody,cedarwood,amber,woody,"['woody', 'cedarwood', 'amber']"
68608-32-2,cedarwood oil terpenes,woody,cedarwood,sandalwood,woody,"['woody', 'cedarwood', 'sandalwood']"
1159574-01-2,"cedarwood oil, chinese",woody,cedarwood,dry,woody,"['woody', 'cedarwood', 'dry']"
68648-34-0,"cedarwood oil, epoxidized",woody,cedarwood,amber,woody,"['woody', 'cedarwood', 'amber']"
68991-36-6,"cedarwood oil, himalaya",woody,cedarwood,sweet,woody,"['woody', 'cedarwood', 'sweet']"
68916-71-2,"cedarwood oil, oxidized",woody,cedarwood,dry,woody,"['woody', 'cedarwood', 'dry']"
68603-22-5,"cedarwood oil, terpeneless",woody,cedarwood,fresh,woody,"['woody', 'cedarwood', 'fresh']"
8000-27-9,"cedarwood oil, virginian",woody,smoky,creamy,woody,"['woody', 'smoky', 'creamy']"
13567-39-0,cedr-8-ene epoxide,woody,amber,cedarwood,woody,"['woody', 'amber', 'cedarwood']"
11028-42-5,cedrene,woody,cedarwood,amber,woody,"['woody', 'cedarwood', 'amber']"
28231-03-0,cedrenol,woody,cedarwood,amber,woody,"['woody', 'cedarwood', 'amber']"
30960-39-5,cedrenone,woody,cedarwood,powdery,woody,"['woody', 'cedarwood', 'powdery']"
1405-92-1,cedrenyl acetate,woody,soft,cedarwood,woody,"['woody', 'soft', 'cedarwood']"
39900-38-4,cedrenyl formate,woody,cedarwood,floral,woody,"['woody', 'cedarwood', 'floral']"
77-53-2,cedrol,woody,soft,cedarwood,woody,"['woody', 'soft', 'cedarwood']"
19870-74-7,cedrol methyl ether,woody,dry,amber,woody,"['woody', 'dry', 'amber']"
77-54-3,cedryl acetate,woody,soft,sweet,woody,"['woody', 'soft', 'sweet']"
67874-81-1,cedryl methyl ether,woody,amber,cedarwood,woody,"['woody', 'amber', 'cedarwood']"
8015-90-5,celery seed absolute,herbal,spicy,green,herbal,"['herbal', 'spicy', 'green']"
8002-66-2,chamomile flower absolute,herbal,warm,sweet,herbal,"['herbal', 'warm', 'sweet']"
8015-92-7,"chamomile flower oil, roman",herbal,aromatic,fruity,herbal,"['herbal', 'aromatic', 'fruity']"
68916-68-7,"chamomile oil, moroccan",herbal,sweet,fruity,herbal,"['herbal', 'sweet', 'fruity']"
8006-76-6,champaca absolute,floral,fruity,herbal,floral,"['floral', 'fruity', 'herbal']"
68990-12-5,cinchona bark red extract,woody,vegetable,rooty,woody,"['woody', 'vegetable', 'rooty']"
104-55-2,cinnamaldehyde,spicy,cinnamon,warm,spicy,"['spicy', 'cinnamon', 'warm']"
621-82-9,cinnamic acid,balsamic,sweet,cinnamon,balsamic,"['balsamic', 'sweet', 'cinnamon']"
4364-06-1,cinnamic aldehyde dimethyl acetal,green,spicy,herbal,green,"['green', 'spicy', 'herbal']"
8015-91-6,cinnamon bark co2 extract,spicy,cinnamon,warm,spicy,"['spicy', 'cinnamon', 'warm']"
97659-68-2,"cinnamon bark oil, laos",spicy,sweet,cinnamon,spicy,"['spicy', 'sweet', 'cinnamon']"
4360-47-8,cinnamonitrile (isomer unspecified),spicy,cinnamon,floral,spicy,"['spicy', 'cinnamon', 'floral']"
103-54-8,cinnamyl acetate,spicy,floral,fruity,spicy,"['spicy', 'floral', 'fruity']"
104-54-1,cinnamyl alcohol,spicy,balsamic,cinnamon,spicy,"['spicy', 'balsamic', 'cinnamon']"
5320-75-2,cinnamyl benzoate,balsamic,spicy,cinnamon,balsamic,"['balsamic', 'spicy', 'cinnamon']"
103-61-7,cinnamyl butyrate,fruity,balsamic,floral,fruity,"['fruity', 'balsamic', 'floral']"
122-69-0,cinnamyl cinnamate,spicy,cinnamon,fruity,spicy,"['spicy', 'cinnamon', 'fruity']"
104-65-4,cinnamyl formate,balsamic,spicy,fruity,balsamic,"['balsamic', 'spicy', 'fruity']"
103-59-3,cinnamyl isobutyrate,fruity,spicy,balsamic,fruity,"['fruity', 'spicy', 'balsamic']"
140-27-2,cinnamyl isovalerate,fruity,spicy,ethereal,fruity,"['fruity', 'spicy', 'ethereal']"
1885-38-7,cinnamyl nitrile,spicy,cinnamon,metallic,spicy,"['spicy', 'cinnamon', 'metallic']"
103-56-0,cinnamyl propionate,spicy,balsamic,fruity,spicy,"['spicy', 'balsamic', 'fruity']"
71660-03-2,"cis- and trans-p-1(7),8-menthadien-2-yl acetate",minty,herbal,fresh,minty,"['minty', 'herbal', 'fresh']"
23726-94-5,"cis-1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-2-buten-1-one",floral,rose,plum,floral,"['floral', 'rose', 'plum']"
59323-76-1,"cis-2-methyl-4-propyl-1,3-oxathiane",fruity,citrus,green,fruity,"['fruity', 'citrus', 'green']"
7214-18-8,cis-2-tert-butylcyclohexan-1-ol,woody,camphoraceous,minty,woody,"['woody', 'camphoraceous', 'minty']"
20298-69-5,cis-2-tert-butylcyclohexyl acetate,fruity,apple,woody,fruity,"['fruity', 'apple', 'woody']"
933-48-2,"cis-3,5,5-trimethylcyclohexan-1-ol",green,earthy,minty,green,"['green', 'earthy', 'minty']"
1576-78-9,cis-3-heptenyl acetate,fruity,green,tropical-fruit,fruity,"['fruity', 'green', 'tropical-fruit']"
3681-71-8,cis-3-hexen-1-yl acetate,green,fruity,pear,green,"['green', 'fruity', 'pear']"
6789-80-6,cis-3-hexenal,green,grassy,fruity,green,"['green', 'grassy', 'fruity']"
928-96-1,cis-3-hexenol,green,grassy,fresh,green,"['green', 'grassy', 'fresh']"
65405-76-7,cis-3-hexenyl anthranilate,fruity,green,grape,fruity,"['fruity', 'green', 'grape']"
25152-85-6,cis-3-hexenyl benzoate,floral,green,balsamic,floral,"['floral', 'green', 'balsamic']"
16491-36-4,cis-3-hexenyl butyrate,green,apple,pear,green,"['green', 'apple', 'pear']"
68133-75-5,cis-3-hexenyl cinnamate,green,balsamic,floral,green,"['green', 'balsamic', 'floral']"
61444-38-0,cis-3-hexenyl cis-3-hexenoate,fruity,green,pear,fruity,"['fruity', 'green', 'pear']"
33467-73-1,cis-3-hexenyl formate,green,fresh,apple,green,"['green', 'fresh', 'apple']"
31501-11-8,cis-3-hexenyl hexanoate,fruity,green,fresh,fruity,"['fruity', 'green', 'fresh']"
41519-23-7,cis-3-hexenyl isobutyrate,green,apple,pear,green,"['green', 'apple', 'pear']"
35154-45-1,cis-3-hexenyl isovalerate,green,pear,pear,green,"['green', 'pear', 'pear']"
61931-81-5,cis-3-hexenyl lactate,green,fruity,tropical-fruit,green,"['green', 'fruity', 'tropical-fruit']"
67633-96-9,cis-3-hexenyl methyl carbonate,green,fresh,floral,green,"['green', 'fresh', 'floral']"
33467-74-2,cis-3-hexenyl propionate,green,apple,pear,green,"['green', 'apple', 'pear']"
65405-77-8,cis-3-hexenyl salicylate,floral,green,balsamic,floral,"['floral', 'green', 'balsamic']"
67883-79-8,cis-3-hexenyl tiglate,green,vegetable,earthy,green,"['green', 'vegetable', 'earthy']"
35852-46-1,cis-3-hexenyl valerate,green,fruity,apple,green,"['green', 'fruity', 'apple']"
10340-23-5,cis-3-nonen-1-ol,green,cucumber,oily,green,"['green', 'cucumber', 'oily']"
13049-88-2,cis-3-nonenyl acetate,green,herbal,pine,green,"['green', 'herbal', 'pine']"
20125-84-2,cis-3-octen-1-ol,fruity,fresh,melon,fruity,"['fruity', 'fresh', 'melon']"
94134-03-9,cis-3-octenyl propionate,fruity,pear,melon,fruity,"['fruity', 'pear', 'melon']"
13828-37-0,cis-4-(isopropyl)cyclohexanemethanol,floral,muguet,fresh,floral,"['floral', 'muguet', 'fresh']"
21662-09-9,cis-4-decen-1-al,aldehydic,citrus,muguet,aldehydic,"['aldehydic', 'citrus', 'muguet']"
57074-37-0,cis-4-decenol,green,fruity,oily,green,"['green', 'fruity', 'oily']"
4634-89-3,cis-4-hexenal,aldehydic,green,oily,aldehydic,"['aldehydic', 'green', 'oily']"
10411-92-4,cis-4-tert-butylcyclohexyl acetate,floral,woody,violet,floral,"['floral', 'woody', 'violet']"
64275-73-6,cis-5-octen-1-ol,green,melon,mushroom,green,"['green', 'melon', 'mushroom']"
41547-22-2,cis-5-octenal,fruity,green,apple,fruity,"['fruity', 'green', 'apple']"
35854-86-5,cis-6-nonen-1-ol,fruity,melon,green,fruity,"['fruity', 'melon', 'green']"
2277-19-2,cis-6-nonenal,green,cucumber,melon,green,"['green', 'cucumber', 'melon']"
115-71-9,cis-alpha-santalol,woody,sandalwood,dry,woody,"['woody', 'sandalwood', 'dry']"
77-42-9,cis-beta santalol,woody,sandalwood,oily,woody,"['woody', 'sandalwood', 'oily']"
3338-55-4,cis-beta-ocimene,floral,herbal,sweet,floral,"['floral', 'herbal', 'sweet']"
488-10-8,cis-jasmone,floral,jasmin,spicy,floral,"['floral', 'jasmin', 'spicy']"
5989-33-3,"cis-linalool oxide 3,6-oxide",earthy,floral,sweet,earthy,"['earthy', 'floral', 'sweet']"
65418-69-1,cis-tetrahydro-2-isobutyl-4-methylpyran-4-ol,floral,fresh,green,floral,"['floral', 'fresh', 'green']"
8016-26-0,cistus absolute,amber,woody,dry,amber,"['amber', 'woody', 'dry']"
5392-40-5,citral,citrus,lemon,verbena,citrus,"['citrus', 'lemon', 'verbena']"
7492-66-2,citral diethyl acetal,citrus,fresh,green,citrus,"['citrus', 'fresh', 'green']"
7549-37-3,citral dimethyl acetal,citrus,fresh,green,citrus,"['citrus', 'fresh', 'green']"
10444-50-5,citral propylene glycol acetal,citrus,sweet,lemon,citrus,"['citrus', 'sweet', 'lemon']"
67801-47-2,citral-methylanthranilate (schiff base),fruity,sweet,lemon,fruity,"['fruity', 'sweet', 'lemon']"
68991-25-3,citron oil,citrus,zesty,lemon,citrus,"['citrus', 'zesty', 'lemon']"
8000-29-1,citronella oil terpenes,citrus,lemon,herbal,citrus,"['citrus', 'lemon', 'herbal']"
68916-56-3,"citronella oil, reduced",citrus,lemon,herbal,citrus,"['citrus', 'lemon', 'herbal']"
106-23-0,citronellal,citrus,lemon,herbal,citrus,"['citrus', 'lemon', 'herbal']"
67845-42-5,citronellal methylanthranilate schiff base,citrus,floral,lemongrass,citrus,"['citrus', 'floral', 'lemongrass']"
7492-67-3,citronelloxyacetaldehyde,aldehydic,floral,muguet,aldehydic,"['aldehydic', 'floral', 'muguet']"
150-84-5,citronellyl acetate,floral,citrus,fruity,floral,"['floral', 'citrus', 'fruity']"
141-16-2,citronellyl butyrate,floral,rose,citrus,floral,"['floral', 'rose', 'citrus']"
68039-38-3,citronellyl crotonate,floral,rose,citrus,floral,"['floral', 'rose', 'citrus']"
60788-25-2,citronellyl ethyl oxalate,floral,rose,muguet,floral,"['floral', 'rose', 'muguet']"
105-85-1,citronellyl formate,fruity,rose,citrus,fruity,"['fruity', 'rose', 'citrus']"
10580-25-3,citronellyl hexanoate,floral,green,rose,floral,"['floral', 'green', 'rose']"
97-89-2,citronellyl isobutyrate,fruity,floral,citrus,fruity,"['fruity', 'floral', 'citrus']"
68922-10-1,citronellyl isovalerate,floral,honey,rose,floral,"['floral', 'honey', 'rose']"
51566-62-2,citronellyl nitrile,citrus,rose,green,citrus,"['citrus', 'rose', 'green']"
139-70-8,citronellyl phenylacetate,floral,honey,rose,floral,"['floral', 'honey', 'rose']"
141-14-0,citronellyl propionate,floral,rose,fruity,floral,"['floral', 'rose', 'fruity']"
24717-85-9,citronellyl tiglate,floral,fruity,sweet-pea,floral,"['floral', 'fruity', 'sweet-pea']"
7540-53-6,citronellyl valerate,floral,rose,herbal,floral,"['floral', 'rose', 'herbal']"
91771-50-5,citrus hystrix extract,citrus,lime,fruity,citrus,"['citrus', 'lime', 'fruity']"
233683-84-6,citrus junos oil,citrus,fruity,zesty,citrus,"['citrus', 'fruity', 'zesty']"
94266-47-4,citrus peels extract,citrus,fruity,zesty,citrus,"['citrus', 'fruity', 'zesty']"
68608-34-4,citrus terpenes,citrus,fresh,lemon,citrus,"['citrus', 'fresh', 'lemon']"
68916-26-7,civet absolute,animal like,indolic,warm,animal like,"['animal like', 'indolic', 'warm']"
8016-63-5,clary sage absolute,herbal,sage,woody,herbal,"['herbal', 'sage', 'woody']"
68917-29-3,clove  bud oil terpenes,spicy,clove,dry,spicy,"['spicy', 'clove', 'dry']"
8000-34-8,clove bud absolute,spicy,warm,woody,spicy,"['spicy', 'warm', 'woody']"
91771-52-7,"clove, extract, acetylated",woody,spicy,clove,woody,"['woody', 'spicy', 'clove']"
8001-31-8,coconut absolute,gourmand,coconut,oily,gourmand,"['gourmand', 'coconut', 'oily']"
8001-67-0,"coffee bean, roasted, absolute",food like,coffee,nutty,food like,"['food like', 'coffee', 'nutty']"
68916-18-7,"coffee bean, roasted, extract",food like,coffee,roasted,food like,"['food like', 'coffee', 'roasted']"
84650-00-0,"coffee, coffea arabica, extract",food like,coffee,nutty,food like,"['food like', 'coffee', 'nutty']"
8013-97-6,copaiba balsam,woody,balsamic,spicy,woody,"['woody', 'balsamic', 'spicy']"
8008-52-4,coriander herb oil,spicy,fresh,green,spicy,"['spicy', 'fresh', 'green']"
91-64-5,coumarin,powdery,warm,almond,powdery,"['powdery', 'warm', 'almond']"
1319-77-3,cresol (mixed isomers),floral,ylang,phenolic,floral,"['floral', 'ylang', 'phenolic']"
8007-87-2,cubeb oil,spicy,peppery,dry,spicy,"['spicy', 'peppery', 'dry']"
89998-01-6,cucumber distillate,green,cucumber,fresh,green,"['green', 'cucumber', 'fresh']"
8014-13-9,cumin seed oil,spicy,woody,aromatic,spicy,"['spicy', 'woody', 'aromatic']"
1335-44-0,cuminacetaldehyde,green,leafy,woody,green,"['green', 'leafy', 'woody']"
122-03-2,cuminaldehyde,herbal,spicy,cumin,herbal,"['herbal', 'spicy', 'cumin']"
13816-33-6,cuminyl nitrile,spicy,cumin,green,spicy,"['spicy', 'cumin', 'green']"
876068-15-4,curry leaf absolute,spicy,green,aromatic,spicy,"['spicy', 'green', 'aromatic']"
91-50-9,cyclamen aldehyde-methyl anthranilate (schiff base),floral,muguet,neroli,floral,"['floral', 'muguet', 'neroli']"
118562-73-5,"cyclododecaneethanol, .beta.-methyl-",amber,dry,woody,amber,"['amber', 'dry', 'woody']"
59052-82-3,cyclododecyl formate,woody,fresh,clean,woody,"['woody', 'fresh', 'clean']"
5120-20-7,cyclohexadec-8-en-1-one,musk like,balsamic,powdery,musk like,"['musk like', 'balsamic', 'powdery']"
3100-36-5,cyclohexadec-8-en-1-one mixture of cis and trans isomer,musk like,fresh,floral,musk like,"['musk like', 'fresh', 'floral']"
5365-06-0,cyclohexadec-8-enone,musk like,balsamic,powdery,musk like,"['musk like', 'balsamic', 'powdery']"
2550-52-9,cyclohexadecanone,musk like,animal like,powdery,musk like,"['musk like', 'animal like', 'powdery']"
88642-03-9,cyclohexadecenone,musk like,balsamic,powdery,musk like,"['musk like', 'balsamic', 'powdery']"
33880-83-0,"cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1r,2r,4s)-rel-",herbal,waxy,fresh,herbal,"['herbal', 'waxy', 'fresh']"
99-82-1,"cyclohexane, 1-methyl-4-(1-methylethyl)-",herbal,woody,pine,herbal,"['herbal', 'woody', 'pine']"
181258-87-7,"cyclohexane, 1-(1,1-dimethylpropyl)-4-ethoxy-, cis-",floral,ozonic,fresh,floral,"['floral', 'ozonic', 'fresh']"
181258-89-9,"cyclohexane, 1-(1,1-dimethylpropyl)-4-ethoxy-, trans-",ozonic,metallic,marine,ozonic,"['ozonic', 'metallic', 'marine']"
68845-33-0,"cyclohexane, 1-ethenyl-1-methyl-2-(1-methylethenyl)-4-(1-methylethyl)-, didehydro
derivative",woody,peppery,dry,woody,"['woody', 'peppery', 'dry']"
5292-21-7,cyclohexaneacetic acid,acidic,cheesy,food like,acidic,"['acidic', 'cheesy', 'food like']"
2511-00-4,"cyclohexaneacetic acid, .alpha.-methyl-, ethyl ester",fruity,green,pear,fruity,"['fruity', 'green', 'pear']"
23059-38-3,"cyclohexanecarboxylic acid, 1,4-dimethyl-, methyl ester, cis-",herbal,pine,minty,herbal,"['herbal', 'pine', 'minty']"
23250-42-2,"cyclohexanecarboxylic acid, 1,4-dimethyl-, methyl ester, trans-",green,pine,herbal,green,"['green', 'pine', 'herbal']"
22471-55-2,"cyclohexanecarboxylic acid, 2,2,6-trimethyl-, ethyl ester, (1r,6s)-rel-",fruity,rose,amber,fruity,"['fruity', 'rose', 'amber']"
7605-52-9,"cyclohexanecarboxylic acid, 3-methyl, methyl ester, (1r,3s)-rel-",fruity,raspberry,green,fruity,"['fruity', 'raspberry', 'green']"
4802-20-4,"cyclohexaneethanethiol, 3-mercapto-b,4-dimethyl-",sulfurous,grapefruit,green,sulfurous,"['sulfurous', 'grapefruit', 'green']"
21722-83-8,cyclohexaneethyl acetate,floral,rose,fruity,floral,"['floral', 'rose', 'fruity']"
68480-15-9,"cyclohexanemethanol, 2,4-dimethyl-",floral,minty,earthy,floral,"['floral', 'minty', 'earthy']"
20009-20-5,"cyclohexanemethanol, 4-(acetyloxy)-a,a,4-trimethyl-, acetate",citrus,woody,fresh,citrus,"['citrus', 'woody', 'fresh']"
95851-08-4,"cyclohexanepropanol, 2,2,3,6-tetramethyl-a-propyl-",woody,amber,warm,woody,"['woody', 'amber', 'warm']"
60241-52-3,"cyclohexanepropanol, a-ethyl-2,2,6-trimethyl-",woody,cedarwood,violet,woody,"['woody', 'cedarwood', 'violet']"
699-61-6,"cyclohexanepropionic acid, 1-hydroxy-, g-lactone",fruity,hay,floral,fruity,"['fruity', 'hay', 'floral']"
108-93-0,cyclohexanol,camphoraceous,minty,earthy,camphoraceous,"['camphoraceous', 'minty', 'earthy']"
23950-98-3,"cyclohexanol, 2-methoxy-4-propyl-",herbal,basil,parsley,herbal,"['herbal', 'basil', 'parsley']"
38649-18-2,"cyclohexanol, 5-methyl-2-(1-methylethyl)-, 1-benzoate, (1r,2s,5r)-rel-",floral,ylang,jasmin,floral,"['floral', 'ylang', 'jasmin']"
2230-87-7,"cyclohexanol, 5-methyl-2-(1-methylethyl)-, acetate, (1a,2a,5b)-",minty,fresh,green,minty,"['minty', 'fresh', 'green']"
830322-14-0,"cyclohexanol,4-(3-methylbutyl)-",floral,rose,citrus,floral,"['floral', 'rose', 'citrus']"
108-94-1,cyclohexanone,aromatic,minty,floral,aromatic,"['aromatic', 'minty', 'floral']"
6413-26-9,"cyclohexanone 1,3-butylene glycol ketal",herbal,eucalyptus,artemisia,herbal,"['herbal', 'eucalyptus', 'artemisia']"
1670-47-9,cyclohexanone diethyl ketal,fruity,tobacco,woody,fruity,"['fruity', 'tobacco like', 'woody']"
59471-80-6,"cyclohexanone, 2-methyl-5-(1-methylethyl)-",minty,caraway,spearmint,minty,"['minty', 'caraway', 'spearmint']"
55739-89-4,"cyclohexanone, 2-ethyl-4,4-dimethyl-",herbal,lavender,fresh,herbal,"['herbal', 'lavender', 'fresh']"
5524-05-0,"cyclohexanone, 2-methyl-5-(1-methylethenyl)-, (2r,5r)-",minty,herbal,menthol,minty,"['minty', 'herbal', 'menthol']"
19096-86-7,"cyclohexanone,5-methyl-2-(1-methylethyl)-,oxime",floral,green,aldehydic,floral,"['floral', 'green', 'aldehydic']"
68084-52-6,"cyclohexenecarboxaldehyde, dimethyl-",green,grassy,citrus,green,"['green', 'grassy', 'citrus']"
622-45-7,cyclohexyl acetate,fruity,floral,green,fruity,"['fruity', 'floral', 'green']"
1551-44-6,cyclohexyl butyrate,fruity,apple,pineapple,fruity,"['fruity', 'apple', 'pineapple']"
65405-69-8,cyclohexyl cyclopent-2-ene-1-acetate,woody,vetiver,grapefruit,woody,"['woody', 'vetiver', 'grapefruit']"
4927-39-3,cyclohexyl methyl pentanone,woody,vetiver,fresh,woody,"['woody', 'vetiver', 'fresh']"
42288-75-5,cyclohexyl phenylacetate,floral,honey,rose,floral,"['floral', 'honey', 'rose']"
25485-88-5,cyclohexyl salicylate,floral,ylang,green,floral,"['floral', 'ylang', 'green']"
87731-18-8,cyclooct-4-en-1-yl methyl carbonate,floral,violet,green,floral,"['floral', 'violet', 'green']"
502-72-7,cyclopentadecanone,musk like,powdery,animal like,musk like,"['musk like', 'powdery', 'animal like']"
1266606-13-6,"cyclopentaneacetonitrile, 2,4,4-trimethyl-α-methylene-",fruity,green,woody,fruity,"['fruity', 'green', 'woody']"
72402-00-7,"cyclopentanol, 1,2-dimethyl-3-(1-methylethenyl)-",herbal,camphoraceous,citrus,herbal,"['herbal', 'camphoraceous', 'citrus']"
94346-09-5,"cyclopentanol, 1,2-dimethyl-3-(1-methylethenyl)-, acetate",herbal,woody,warm,herbal,"['herbal', 'woody', 'warm']"
1245725-35-2,"cyclopentanol, 2-methyl-5-(1-methylethyl)-, 1-propanoate",fruity,floral,green,fruity,"['fruity', 'floral', 'green']"
34686-67-4,"cyclopentanol, 2-(2-hexen-1-yl)-",floral,jasmin,banana,floral,"['floral', 'jasmin', 'banana']"
120-92-3,cyclopentanone,minty,powdery,dry,minty,"['minty', 'powdery', 'dry']"
188570-78-7,"cyclopropanecarboxylic acid, (3z)-3-hexenyl ester",green,fresh,fruity,green,"['green', 'fresh', 'fruity']"
477218-42-1,"cyclopropanecarboxylic acid, 2-[1-(3,3-dimethylcyclohexyl)ethoxy]-2-methylpropyl
ester",musk like,fruity,sweet,musk like,"['musk like', 'fruity', 'sweet']"
676532-44-8,"cyclopropanecarboxylic acid, 2-methyl-2-[(1,2,4-trimethyl-2-penten-1-yl)oxy]propyl
ester",musk like,fruity,berry,musk like,"['musk like', 'fruity', 'berry']"
198404-98-7,"cyclopropanemethanol, 1-methyl-2-[(1,2,2-trimethylbicyclo[3.1.0]hex-3-yl)methyl]-",woody,sandalwood,creamy,woody,"['woody', 'sandalwood', 'creamy']"
94333-69-4,"cymbopogon nardus, ext., reaction products with acetone",citrus,verbena,herbal,citrus,"['citrus', 'verbena', 'herbal']"
84238-19-7,"cymbopogon, ext., oxidized",spicy,ginger,carnation,spicy,"['spicy', 'ginger', 'carnation']"
8013-86-3,cypress,woody,fresh,herbal,woody,"['woody', 'fresh', 'herbal']"
68916-59-6,"cypress oil, terpene-free",woody,resinous,peppery,woody,"['woody', 'resinous', 'peppery']"
68916-60-9,cypriol oil,woody,earthy,amber,woody,"['woody', 'earthy', 'amber']"
69-79-4,"d-glucose, 4-o-α-d-glucopyranosyl-",gourmand,sweet,fruity,gourmand,"['gourmand', 'sweet', 'fruity']"
